title,doi
"Cell-specific pathways recruited for symbiotic nodulation in the Medicago trunca","10.1016/j.molp.2022.10.021"
"High-resolution anatomical and spatial transcriptome analyses reveal two types o","10.1016/j.molp.2023.03.005"
"Single-cell RNA sequencing reveals a hierarchical transcriptional regulatory net","10.1016/j.molp.2023.10.008"
"Systematic identification of wheat spike developmental regulators by integrated","10.1016/j.molp.2024.01.010"
"WIND1 controls cell fate transition through coordinately integrating histone ace","10.1016/j.molp.2026.03.005"
"The dynamic plant stem cell niches.","10.1016/j.pbi.2007.07.001"
"The integration of cell division, growth and differentiation.","10.1016/j.pbi.2009.11.001"
"Plant stem cell niches: from signalling to execution.","10.1016/j.pbi.2010.08.001"
"Stem cell maintenance in shoot apical meristems.","10.1016/j.pbi.2011.10.008"
"Signaling in shoot and flower meristems of Arabidopsis thaliana.","10.1016/j.pbi.2013.11.011"
"O cell, where art thou? The mechanisms of shoot meristem patterning.","10.1016/j.pbi.2014.11.002"
"Linking cell cycle to stomatal differentiation.","10.1016/j.pbi.2019.03.010"
"A single-cell view of tissue regeneration in plants.","10.1016/j.pbi.2019.09.003"
"The promise of single-cell genomics in plants.","10.1016/J.PBI.2020.04.002"
"Transcriptome and GWAS analyses reveal candidate gene for seminal root length of","10.1016/j.plantsci.2019.110380"
"Review: Challenges and perspectives in applying single nuclei RNA-seq technology","10.1016/j.plantsci.2022.111486"
"Regeneration in plants and animals: dedifferentiation, transdifferentiation, or","10.1016/j.tcb.2010.12.004"
"Uncovering Gene Regulatory Networks Controlling Plant Cell Differentiation.","10.1016/j.tig.2017.05.002"
"Intricacies of single-cell multi-omics data integration.","10.1016/j.tig.2021.08.012"
"Deep Learning for Plant Stress Phenotyping: Trends and Future Perspectives.","10.1016/j.tplants.2018.07.004"
"To Divide or Differentiate: It Is about Scaffolding.","10.1016/j.tplants.2019.03.007"
"Single-Cell Transcriptomics: A High-Resolution Avenue for Plant Functional Genom","10.1016/j.tplants.2019.10.008"
"Single-Cell Genomics and Epigenomics: Technologies and Applications in Plants.","10.1016/j.tplants.2020.04.016"
"Crafting a blueprint for single-cell RNA sequencing.","10.1016/j.tplants.2021.08.016"
"Mass spectrometry imaging and single-cell transcriptional profiling reveal the t","10.1016/j.xplc.2023.100630"
"Single-cell transcriptome atlases of soybean root and mature nodule reveal new r","10.1016/j.xplc.2024.100984"
"Cell cycle-regulated gene expression in Arabidopsis.","10.1074/jbc.M207570200"
"Curcumin, a novel p300/CREB-binding protein-specific inhibitor of acetyltransfer","10.1074/jbc.M409024200"
"The plant stomatal lineage at a glance.","10.1242/jcs.228551"
"Reactive oxygen species regulate auxin levels to mediate adventitious root induc","10.1111/jipb.12870"
"WHIRLY1 recruits the histone deacetylase HDA15 repressing leaf senescence and fl","10.1111/jipb.13272"
"Whole-genome analysis of the SHORT-ROOT developmental pathway in Arabidopsis.","10.1371/journal.pbio.0040143"
"Optimal transport analysis reveals trajectories in steady-state systems.","10.1371/journal.pcbi.1009466"
"MYB44-ENAP1/2 restricts HDT4 to regulate drought tolerance in Arabidopsis.","10.1371/journal.pgen.1010473"
"SARTools: A DESeq2- and EdgeR-Based R Pipeline for Comprehensive Differential An","10.1371/journal.pone.0157022"
"Alternative polyadenylation of single cells delineates cell types and serves as","10.1371/journal.pone.0217196"
"Alternative 3'-untranslated regions regulate high-salt tolerance of Spartina alt","10.1093/plphys/kiad030"
"Interactions between SQUAMOSA and SHORT VEGETATIVE PHASE MADS-box proteins regul","10.1093/plcell/koab243"
"PAT1-type GRAS-domain proteins control regeneration by activating DOF3.4 to driv","10.1093/plcell/koad028"
"Transcriptional activation by WRKY23 and derepression by removal of bHLH041 coor","10.1093/plcell/koad255"
"Best practices for the execution, analysis, and data storage of plant single-cel","10.1093/plcell/koae003"
"The SAUR41 subfamily of SMALL AUXIN UP RNA genes is abscisic acid inducible to m","10.1093/aob/mcz160"
"A map of cell type-specific auxin responses.","10.1038/msb.2013.40"
"MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets.","10.1093/molbev/msw054"
"APL regulates vascular tissue identity in Arabidopsis.","10.1038/nature02100"
"Chromatin organization and cell fate switch respond to positional information in","10.1038/nature04269"
"The plant immune system.","10.1038/nature05286"
"Conserved factors regulate signalling in Arabidopsis thaliana shoot and root ste","10.1038/nature05703"
"Cells keep a memory of their tissue origin during axolotl limb regeneration.","10.1038/nature08152"
"Stomagen positively regulates stomatal density in Arabidopsis.","10.1038/nature08682"
"Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate.","10.1038/nature08977"
"A novel protein family mediates Casparian strip formation in the endodermis.","10.1038/nature10070"
"Single-cell transcriptomics reveals bimodality in expression and splicing in imm","10.1038/nature12172"
"The dynamics and regulators of cell fate decisions are revealed by pseudotempora","10.1038/nbt.2859"
"Near-optimal probabilistic RNA-seq quantification.","10.1038/nbt.3519"
"Arabidopsis ERF109 mediates cross-talk between jasmonic acid and auxin biosynthe","10.1038/ncomms6833"
"The circadian clock rephases during lateral root organ initiation in Arabidopsis","10.1038/ncomms8641"
"Cis and trans determinants of epigenetic silencing by Polycomb repressive comple","10.1038/ng.3937"
"Variance component model to account for sample structure in genome-wide associat","10.1038/ng.548"
"Fast gapped-read alignment with Bowtie 2.","10.1038/nmeth.1923"
"Reversed graph embedding resolves complex single-cell trajectories.","10.1038/nmeth.4402"
"Massively parallel single-nucleus RNA-seq with DroNc-seq.","10.1038/nmeth.4407"
"Single-cell sequencing reveals dissociation-induced gene expression in tissue su","10.1038/nmeth.4437"
"Cell type-specific expression profiling in plants via cell sorting of protoplast","10.1038/nmeth0805-615"
"Are above- and below-ground phenology in sync?","10.1111/nph.13111"
"50 years of Arabidopsis research: highlights and future directions.","10.1111/nph.13687"
